product_id,product_name,product_image,product_price,shop_link,shop_name,shop_logo,review_score,review_score_count,company_name,cpu_socket_type,memory_type
16426892,ASUS ROG STRIX B660-A GAMING WIFI 인텍앤컴퍼니,https://img.danawa.com/prod_img/500000/892/426/img/16426892_1.jpg?shrink=330:330&_v=20220628174211,290320,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=16426892&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4876404771&package=0&setpc=0&r=16678632589016,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.6,3,ASUS ( 제조사 웹사이트 바로가기),인텔(소켓1700),DDR5
15784451,ASRock Z690M Phantom Gaming 4 D4 에즈윈,https://img.danawa.com/prod_img/500000/451/784/img/15784451_1.jpg?shrink=330:330&_v=20211125152013,199290,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=15784451&cmpnyc=PP402&safe_trade=4&fee_type=A&link_pcode=15784451&package=0&setpc=0&r=16678656396823,아이티엔조이,https://img.danawa.com/cmpny_info/images/PP402_logo.gif,4.8,5,ASRock ( 제조사 웹사이트 바로가기),인텔(소켓1700),DDR4
11224182,ASUS PRIME Z490M-PLUS 인텍앤컴퍼니,https://img.danawa.com/prod_img/500000/182/224/img/11224182_1.jpg?shrink=330:330&_v=20200730170354,198000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=11224182&cmpnyc=TS7119&safe_trade=4&fee_type=N&link_pcode=4978889365&package=0&setpc=0&r=16678678317537,지니어스피씨,,4.6,14,ASUS ( 제조사 웹사이트 바로가기),인텔(소켓1200),DDR4
9739197,ASUS ROG CROSSHAIR VIII IMPACT 아이보라,https://img.danawa.com/prod_img/500000/197/739/img/9739197_1.jpg?shrink=330:330&_v=20220517174802,553650,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=9739197&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2583679736&package=0&setpc=0&r=16678648198884,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,3.6,5,ASUS ( 제조사 웹사이트 바로가기),AMD(소켓AM4),DDR4
11684642,GIGABYTE B550M DS3H 듀러블에디션 제이씨현,https://img.danawa.com/prod_img/500000/642/684/img/11684642_1.jpg?shrink=330:330&_v=20210803162116,201970,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=11684642&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=7612086031&package=0&setpc=0&r=16678668505408,인터파크,https://img.danawa.com/cmpny_info/images/ED910_logo.gif,4.9,10,GIGABYTE ( 제조사 웹사이트 바로가기),AMD(소켓AM4),DDR4
15605684,GIGABYTE Z690 UD D4 피씨디렉트,https://img.danawa.com/prod_img/500000/684/605/img/15605684_1.jpg?shrink=330:330&_v=20220428172045,257000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=15605684&cmpnyc=TS7119&safe_trade=4&fee_type=N&link_pcode=6093303007&package=0&setpc=0&r=16678657295935,지니어스피씨,,4.0,1,GIGABYTE ( 제조사 웹사이트 바로가기),인텔(소켓1700),DDR4
15755711,ASUS TUF Gaming B550-PLUS WiFi II 대원씨티에스,https://img.danawa.com/prod_img/500000/711/755/img/15755711_1.jpg?shrink=330:330&_v=20220712091916,414320,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=15755711&cmpnyc=EE309&safe_trade=4&fee_type=T&link_pcode=LO1646967681&package=0&setpc=0&r=16678647404020,롯데ON,https://img.danawa.com/cmpny_info/images/EE309_logo.gif,4.5,34,ASUS ( 제조사 웹사이트 바로가기),AMD(소켓AM4),DDR4
16086878,ASUS ROG STRIX B660-I GAMING WIFI 인텍앤컴퍼니,https://img.danawa.com/prod_img/500000/878/086/img/16086878_1.jpg?shrink=330:330&_v=20220217174903,455470,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=16086878&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4300035821&package=0&setpc=0&r=16678669444798,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.8,5,ASUS ( 제조사 웹사이트 바로가기),인텔(소켓1700),DDR5
13060886,MSI MEG B550 유니파이-X,https://img.danawa.com/prod_img/500000/886/060/img/13060886_1.jpg?shrink=330:330&_v=20210730140151,659270,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=13060886&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=8993631562&package=0&setpc=0&r=16678639815861,인터파크,https://img.danawa.com/cmpny_info/images/ED910_logo.gif,4.8,7,MSI ( 제조사 웹사이트 바로가기),AMD(소켓AM4),DDR4
15653948,ASRock Z690 Phantom Gaming 4 D4 디앤디컴,https://img.danawa.com/prod_img/500000/948/653/img/15653948_1.jpg?shrink=330:330&_v=20211230095443,209820,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=15653948&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2468939603&package=0&setpc=0&r=16678654921034,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,5.0,1,ASRock ( 제조사 웹사이트 바로가기),인텔(소켓1700),DDR4
