,id,name,등록년월,image,price,shop_link,shop_name,shop_logo,score,mall_review,제조회사,기본 사양CPU 소켓,메모리메모리 종류,review_size,review_mean,review_count,final_score,Test,Rank
129,12060293,ASUS PRIME A520M-K STCOM,2020년 08월,https://img.danawa.com/prod_img/500000/293/060/img/12060293_1.jpg?shrink=330:330&_v=20220429165348,118170.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=12060293&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=3916957502&package=0&setpc=0&r=16678664151759,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.0,(1),ASUS ( 제조사 웹사이트 바로가기),AMD(소켓AM4),DDR4,8,-0.25,9,13.279984601902235,0.27892019971227894,130
130,12086510,ASRock A520M-HVS 디앤디컴,2020년 08월,https://img.danawa.com/prod_img/500000/510/086/img/12086510_1.jpg?shrink=330:330&_v=20220518150324,119150.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=12086510&cmpnyc=TN729&safe_trade=4&fee_type=T&link_pcode=2169367924_2169367924&package=0&setpc=0&r=16678676891579,위메프,https://img.danawa.com/cmpny_info/images/TN729_logo.gif,5.0,(6),ASRock ( 제조사 웹사이트 바로가기),AMD(소켓AM4),DDR4,8,0.12,14,19.454230079270097,0.2766261015526647,131
131,16103339,GIGABYTE B660M AORUS PRO D4 피씨디렉트,2022년 01월,https://img.danawa.com/prod_img/500000/339/103/img/16103339_1.jpg?shrink=330:330&_v=20220106140005,194260.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=16103339&cmpnyc=TN920&safe_trade=4&fee_type=T&link_pcode=13792253458&package=0&setpc=0&r=16678641361614,티몬,https://img.danawa.com/cmpny_info/images/TN920_logo.gif,4.9,(18),GIGABYTE ( 제조사 웹사이트 바로가기),인텔(소켓1700),DDR4,13,0.15,31,13.047121427183711,0.2712962009677751,132
132,11751674,GIGABYTE B550M GAMING 게이밍에디션 피씨디렉트,2020년 07월,https://img.danawa.com/prod_img/500000/674/751/img/11751674_1.jpg?shrink=330:330&_v=20210803145850,136760.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=11751674&cmpnyc=EE309&safe_trade=4&fee_type=T&link_pcode=LO1517700975&package=0&setpc=0&r=16678644298562,롯데ON,https://img.danawa.com/cmpny_info/images/EE309_logo.gif,5.0,(5),GIGABYTE ( 제조사 웹사이트 바로가기),AMD(소켓AM4),DDR4,9,0.0,14,18.820316251680143,0.27047382275519155,133
133,11877349,COLORFUL BATTLE-AX B460M-D V20 STCOM,2020년 07월,https://img.danawa.com/prod_img/500000/349/877/img/11877349_1.jpg?shrink=330:330&_v=20200731133012,107900.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=11877349&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=7540908306&package=0&setpc=0&r=16678676602076,인터파크,https://img.danawa.com/cmpny_info/images/ED910_logo.gif,5.0,(1),COLORFUL ( 제조사 웹사이트 바로가기),인텔(소켓1200),DDR4,7,-0.71,8,16.20546168299361,0.2666357738646895,134
134,16310849,GIGABYTE B660M GAMING X AX D4 피씨디렉트,2022년 02월,https://img.danawa.com/prod_img/500000/849/310/img/16310849_1.jpg?shrink=330:330&_v=20220203145511,199000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=16310849&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2413314781&package=0&setpc=0&r=16678646629163,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.9,(20),GIGABYTE ( 제조사 웹사이트 바로가기),인텔(소켓1700),DDR4,13,0.08,33,11.296290441268006,0.26548743718592965,135
135,11606894,GIGABYTE B550 AORUS ELITE 제이씨현,2020년 06월,https://img.danawa.com/prod_img/500000/894/606/img/11606894_1.jpg?shrink=330:330&_v=20210929142406,333170.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=11606894&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=7800993285&package=0&setpc=0&r=16678673224591,인터파크,https://img.danawa.com/cmpny_info/images/ED910_logo.gif,4.9,(12),GIGABYTE ( 제조사 웹사이트 바로가기),AMD(소켓AM4),DDR4,21,0.0,33,10.72116910462463,0.25842662904823366,136
136,11233074,BIOSTAR RACING Z490GTA EVO 이엠텍,2020년 05월,https://img.danawa.com/prod_img/500000/074/233/img/11233074_1.jpg?shrink=330:330&_v=20210819132315,128010.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=11233074&cmpnyc=EE309&safe_trade=4&fee_type=T&link_pcode=LO1990676655&package=0&setpc=0&r=16678653188630,롯데ON,https://img.danawa.com/cmpny_info/images/EE309_logo.gif,5.0,(4),BIOSTAR ( 제조사 웹사이트 바로가기),인텔(소켓1200),DDR4,8,0.12,12,17.353141312910115,0.2556050308569643,137
137,12140450,ASUS TUF Gaming B550-PLUS (Wi-Fi) 대원씨티에스,2020년 08월,https://img.danawa.com/prod_img/500000/450/140/img/12140450_1.jpg?shrink=330:330&_v=20220712091916,258660.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=12140450&cmpnyc=EE309&safe_trade=4&fee_type=T&link_pcode=LO1507435293&package=0&setpc=0&r=16678660985234,롯데ON,https://img.danawa.com/cmpny_info/images/EE309_logo.gif,4.6,(42),ASUS ( 제조사 웹사이트 바로가기),AMD(소켓AM4),DDR4,16,0.0,58,13.282452520291688,0.2548519291734323,138
138,8514777,ASUS PRIME X570-PRO/CSM 아이보라,2019년 07월,https://img.danawa.com/prod_img/500000/777/514/img/8514777_1.jpg?shrink=330:330&_v=20220517170506,297390.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=8514777&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=5096902237&package=0&setpc=0&r=16678642516603,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.5,(21),ASUS ( 제조사 웹사이트 바로가기),AMD(소켓AM4),DDR4,18,0.33,39,12.129504030658357,0.24864319580349037,139
139,12719003,ASUS ROG CROSSHAIR VIII DARK HERO 아이보라,2020년 11월,https://img.danawa.com/prod_img/500000/003/719/img/12719003_1.jpg?shrink=330:330&_v=20211022162253,486920.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=12719003&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=8612630182&package=0&setpc=0&r=16678656242262,인터파크,https://img.danawa.com/cmpny_info/images/ED910_logo.gif,4.8,(7),ASUS ( 제조사 웹사이트 바로가기),AMD(소켓AM4),DDR4,29,0.38,36,14.434789255595977,0.24716585886798653,140
140,15358496,AFOX IH81-MA2-V2 에즈윈,2021년 10월,https://img.danawa.com/prod_img/500000/496/358/img/15358496_1.jpg?shrink=330:330&_v=20211001152318,67660.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=15358496&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=5084873768&package=0&setpc=0&r=16678684524403,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.9,(12),AFOX ( 제조사 웹사이트 바로가기),인텔(소켓1150),DDR3,4,0.0,16,14.39619151107973,0.24487141590304465,141
