,id,name,등록년월,image,price,shop_link,shop_name,shop_logo,score,mall_review,제조회사,[기본사양]용량,[기본사양]RAM 타입,review_size,review_mean,review_count,final_score,Test,Rank
30,5834210,삼성전자 860 EVO (500GB),2018년 01월,https://img.danawa.com/prod_img/500000/210/834/img/5834210_1.jpg?shrink=330:330&_v=20201016110203,75550.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32623&cate4=0&pcode=5834210&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4120228899&package=0&setpc=0&r=16678709945076,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.7,"(4,393)",삼성전자,500GB,DDR4 512MB,23,-0.3,4416,33.531833997077726,1.231740569159497,31
31,5579649,Western Digital WD Blue 3D SSD (500GB),2017년 10월,https://img.danawa.com/prod_img/500000/649/579/img/5579649_1.jpg?shrink=330:330&_v=20201016110226,65010.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32623&cate4=0&pcode=5579649&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P1736348839&package=0&setpc=0&r=16678695853908,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,4.7,"(1,122)",Western Digital WD,500GB,,19,-0.05,1141,28.511107033734948,1.2082141209044763,32
32,11097639,마이크론 Crucial P2 M.2 NVMe 대원씨티에스 (500GB),2020년 04월,https://img.danawa.com/prod_img/500000/639/097/img/11097639_1.jpg?shrink=330:330&_v=20220712095826,57860.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32623&cate4=0&pcode=11097639&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2085727596&package=0&setpc=0&r=16678692894630,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.8,(94),마이크론 ( 제조사 웹사이트 바로가기),500GB,,17,-0.12,111,17.866000650509005,1.1987556170065676,33
33,13293902,삼성전자 PM9A1 M.2 NVMe 병행수입 (256GB),2021년 02월,https://img.danawa.com/prod_img/500000/902/293/img/13293902_1.jpg?shrink=330:330&_v=20220927151450,37480.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=59330&cate4=0&pcode=13293902&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2233187064&package=0&setpc=0&r=16678691689881,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.8,(79),삼성전자 ( 제조사 웹사이트 바로가기),256GB,,11,-0.09,90,12.37736127538901,1.1921558164354322,34
34,5791861,마이크론 Crucial MX500 대원씨티에스 (250GB),2018년 01월,https://img.danawa.com/prod_img/500000/861/791/img/5791861_1.jpg?shrink=330:330&_v=20220830161756,44480.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32623&cate4=0&pcode=5791861&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2276540614&package=0&setpc=0&r=16678692148900,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.7,"(1,786)",마이크론 Crucial,250GB,,13,0.0,1799,42.72107156904281,1.1825089928057555,35
35,14958056,SK하이닉스 BC711 M.2 NVMe 벌크 (256GB),2021년 08월,https://img.danawa.com/prod_img/500000/056/958/img/14958056_1.jpg?shrink=330:330&_v=20210809165711,31410.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=59330&cate4=0&pcode=14958056&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=C552296928&package=0&setpc=0&r=16678710644119,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.8,(193),SK하이닉스 ( 제조사 웹사이트 바로가기),256GB,,9,-0.22,202,17.91070096915024,1.1810888252148997,36
36,11692385,마이크론 Crucial P5 M.2 NVMe 대원씨티에스 (500GB),2020년 06월,https://img.danawa.com/prod_img/500000/385/692/img/11692385_1.jpg?shrink=330:330&_v=20220712095826,88500.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32623&cate4=0&pcode=11692385&cmpnyc=TN118&safe_trade=4&fee_type=T&link_pcode=1000289117442&package=0&setpc=0&r=16678696043337,SSG.COM,https://img.danawa.com/cmpny_info/images/TN118_logo.gif,5.0,(8),마이크론 ( 제조사 웹사이트 바로가기),500GB,,25,-0.52,33,14.849310538152118,1.1581920903954803,37
37,5781820,마이크론 Crucial MX500 아스크텍 (1TB),2018년 01월,https://img.danawa.com/prod_img/500000/820/781/img/5781820_1.jpg?shrink=330:330&_v=20210805093708,109000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32623&cate4=0&pcode=5781820&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=C283692337&package=0&setpc=0&r=16678710419684,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.8,"(1,668)",마이크론 Crucial,1TB,,30,-0.47,1698,24.4066293894984,1.1135779816513762,38
38,9998208,삼성전자 PM981a M.2 NVMe 병행수입 (256GB),2019년 11월,https://img.danawa.com/prod_img/500000/208/998/img/9998208_1.jpg?shrink=330:330&_v=20210107095137,41220.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=59330&cate4=0&pcode=9998208&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2854431043&package=0&setpc=0&r=16678710893146,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.7,(363),삼성전자,256GB,,11,-0.09,374,23.90684659572428,1.1069383794274623,39
39,17001050,SK하이닉스 Platinum P41 M.2 NVMe (1TB),2022년 05월,https://img.danawa.com/prod_img/500000/050/001/img/17001050_1.jpg?shrink=330:330&_v=20221017171017,210000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32623&cate4=0&pcode=17001050&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2446734147&package=0&setpc=0&r=16678690827237,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.9,(647),SK하이닉스 ( 제조사 웹사이트 바로가기),1TB,확인요망,54,-0.04,701,20.84520069934201,1.0527428571428572,40
40,5834197,삼성전자 860 EVO (250GB),2018년 01월,https://img.danawa.com/prod_img/500000/197/834/img/5834197_1.jpg?shrink=330:330&_v=20201016110306,54710.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32623&cate4=0&pcode=5834197&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2345769404&package=0&setpc=0&r=16678709999000,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.7,"(8,962)",삼성전자,250GB,DDR4 512MB,14,0.14,8976,52.89151544339232,1.035350027417291,41
41,10182867,리뷰안 900G BLUE 벌크 (240GB),2019년 12월,https://img.danawa.com/prod_img/500000/867/182/img/10182867_1.jpg?shrink=330:330&_v=20191218160614,32900.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=59330&cate4=0&pcode=10182867&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2596084340&package=0&setpc=0&r=16678721957722,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.7,(184),리뷰안,240GB,,8,0.38,192,16.81605174248906,1.011063829787234,42
42,13168247,SK하이닉스 Gold S31 (500GB),2021년 01월,https://img.danawa.com/prod_img/500000/247/168/img/13168247_1.jpg?shrink=330:330&_v=20210323152005,93080.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32623&cate4=0&pcode=13168247&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=8025779451&package=0&setpc=0&r=16678698903203,인터파크,https://img.danawa.com/cmpny_info/images/ED910_logo.gif,4.7,(541),SK하이닉스 ( 제조사 웹사이트 바로가기),500GB,DDR3,23,0.04,564,21.74942024917662,1.0012462397937258,43
43,7395145,Western Digital WD BLACK SN750 M.2 NVMe (500GB),2019년 03월,https://img.danawa.com/prod_img/500000/145/395/img/7395145_1.jpg?shrink=330:330&_v=20201016130057,114000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32623&cate4=0&pcode=7395145&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=3163583597&package=0&setpc=0&r=16678702747224,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.8,(134),Western Digital ( 제조사 웹사이트 바로가기),500GB,,26,-0.46,160,19.51146600387149,0.9277894736842105,44
44,1510996,이지넷유비쿼터스 USB 3.0 to SATA 확장 어댑터 (NEXT-318U3),2011년 10월,https://img.danawa.com/prod_img/500000/996/510/img/1510996_1.jpg?shrink=330:330&_v=20200316103452,18400.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32625&cate4=0&pcode=1510996&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=A579284854&package=0&setpc=0&r=16678712256939,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.7,(325),이지넷유비쿼터스,,,4,0.25,329,41.25707257872315,0.8960869565217391,45
